+++ BI Server - begin +++
Name, Description
SBA,BI Reporting Server
+++ BI Server - end +++

+++ BI Report - begin +++
Name,Server,Folder,Description
RACE_PROD,SBA,SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD,RACE_PROD[A56RQPC2.AY0001BS]
+++ BI Report - end +++

+++ BI Query - begin +++
Name,Report,Description
DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Query - end +++

+++ BI Collection - begin +++
Name,Model,Description
_016_RAC_FACT_GENERAL,t016lasr<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Data/Memory/Team_SAS_VA_016 - Memory Library>,_016_RAC_FACT_GENERAL
+++ BI Collection - end +++

+++ BI Model - begin +++
Name,Report,Description
t016lasr,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Model - end +++

+++ BI Query Member - begin +++
DE_PROFIT_CENTRE_L2, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DE_PROFIT_CENTRE_L2,"Source: T016LASR._016_RAC_FACT_GENERAL"
DE_PROFIT_CENTRE, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DE_PROFIT_CENTRE,"Source: T016LASR._016_RAC_FACT_GENERAL"
FLAG_PUBLIC_SECTOR, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,FLAG_PUBLIC_SECTOR,"Source: T016LASR._016_RAC_FACT_GENERAL"
FLAG_SMALL_BUSINESS, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,FLAG_SMALL_BUSINESS,"Source: T016LASR._016_RAC_FACT_GENERAL"
DE_FLAG_ALFA, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,DE_FLAG_ALFA,"Source: T016LASR._016_RAC_FACT_GENERAL"
FLAG_NETWORK, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,FLAG_NETWORK,"Source: T016LASR._016_RAC_FACT_GENERAL"
FLAG_MESE_CORRENTE, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,FLAG_MESE_CORRENTE,"Source: T016LASR._016_RAC_FACT_GENERAL"
GG_INIZIO_ANNO, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,GG_INIZIO_ANNO,"Source: T016LASR._016_RAC_FACT_GENERAL"
GG_INIZIO_MESE, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,GG_INIZIO_MESE,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_MOL_TOT, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_MOL_TOT,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_EQ_REB, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_EQ_REB,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_CT2, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_CT2,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_EL_REG, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_EL_REG,"Source: T016LASR._016_RAC_FACT_GENERAL"
